,city,district,price,area
590,Łódź,Śródmieście,409000.0,57.26
591,Łódź,Śródmieście,,38.21
592,Łódź,Bałuty,314000.0,44.0
593,Łódź,Polesie,549000.0,111.0
594,Łódź,Bałuty,259000.0,37.0
595,Łódź,Górna,240000.0,36.0
596,Łódź,Górna,229000.0,36.86
597,Łódź,Górna,193000.0,27.18
598,Łódź,Widzew,510000.0,45.5
599,Łódź,Widzew,750000.0,149.0
600,Łódź,Górna,,50.08
601,Łódź,Polesie,360000.0,65.0
602,Łódź,Górna,,50.71
603,Łódź,Górna,620000.0,65.7
604,Łódź,Górna,,32.39
605,Łódź,Górna,337900.0,52.0
606,Łódź,Polesie,419000.0,53.0
607,Łódź,Śródmieście,,41.13
608,Łódź,Śródmieście,507000.0,101.0
609,Łódź,Śródmieście,,42.12
610,Łódź,Widzew,212000.0,33.0
611,Łódź,Śródmieście,,49.4
612,Łódź,Polesie,305000.0,46.58
613,Łódź,Śródmieście,,120.7
614,Łódź,Górna,339000.0,38.0
615,Łódź,Śródmieście,,69.32
616,Łódź,Śródmieście,,35.7
617,Łódź,Śródmieście,,36.9
618,Łódź,Śródmieście,,131.8
619,Łódź,Śródmieście,,35.6
620,Łódź,Śródmieście,,49.9
621,Łódź,Śródmieście,,170.6
622,Łódź,Śródmieście,,60.2
623,Łódź,Śródmieście,,93.0
624,Łódź,Górna,193333.0,22.0
625,Łódź,Bałuty,404000.0,45.0
626,Łódź,Śródmieście,261000.0,26.2
627,Łódź,Górna,1270000.0,115.25
628,Łódź,Bałuty,499000.0,63.6
629,Łódź,Polesie,300000.0,54.0
630,Łódź,Górna,266350.0,27.0
631,Łódź,Widzew,299999.0,42.0
632,Łódź,Widzew,309000.0,57.29
633,Łódź,Śródmieście,565000.0,64.2
634,Łódź,Górna,466000.0,62.0
635,Łódź,Górna,662400.0,68.7
636,Łódź,Górna,523000.0,53.87
637,Łódź,Górna,687080.0,71.2
638,Łódź,Bałuty,759000.0,109.0
639,Łódź,Widzew,310000.0,49.7
640,Łódź,Górna,523000.0,53.87
641,Łódź,Śródmieście,739000.0,69.36
642,Łódź,Widzew,320000.0,52.35
643,Łódź,Bałuty,430000.0,62.0
644,Łódź,Górna,485000.0,46.21
645,Łódź,Bałuty,,42.84
646,Łódź,Bałuty,,35.52
647,Łódź,Bałuty,,66.56
648,Łódź,Bałuty,,27.87
649,Łódź,Bałuty,,38.55
650,Łódź,Bałuty,,38.55
651,Łódź,Bałuty,,38.6
652,Łódź,Bałuty,,43.05
653,Łódź,Bałuty,,51.45
654,Łódź,Bałuty,,28.36
655,Łódź,Bałuty,,28.09
656,Łódź,Bałuty,,42.84
657,Łódź,Bałuty,,35.52
658,Łódź,Górna,345000.0,47.89
659,Łódź,Bałuty,,66.56
660,Łódź,Bałuty,,27.87
661,Łódź,Bałuty,,38.55
662,Łódź,Bałuty,,38.55
663,Łódź,Bałuty,,38.6
664,Łódź,Bałuty,,43.05
665,Łódź,Bałuty,,51.45
666,Łódź,Bałuty,,58.55
667,Łódź,Bałuty,,28.36
668,Łódź,Bałuty,,28.09
669,Łódź,Bałuty,,42.84
670,Łódź,Bałuty,,35.52
671,Łódź,Bałuty,,66.52
672,Łódź,Bałuty,,66.56
673,Łódź,Bałuty,,27.87
674,Łódź,Bałuty,,38.55
675,Łódź,Bałuty,,38.55
676,Łódź,Bałuty,,38.6
677,Łódź,Górna,359000.0,38.0
678,Łódź,Bałuty,,43.05
679,Łódź,Bałuty,,51.45
680,Łódź,Bałuty,,58.55
681,Łódź,Bałuty,,28.36
682,Łódź,Bałuty,,29.44
683,Łódź,Bałuty,,49.72
684,Łódź,Bałuty,,40.05
685,Łódź,Bałuty,,38.55
686,Łódź,Bałuty,340000.0,38.0
687,Łódź,Bałuty,,38.55
688,Łódź,Bałuty,,51.45
689,Łódź,Bałuty,,28.35
690,Łódź,Bałuty,,29.44
691,Łódź,Bałuty,,49.72
692,Łódź,Bałuty,,60.55
693,Łódź,Bałuty,,40.05
694,Łódź,Bałuty,,38.55
695,Łódź,Bałuty,,38.55
696,Łódź,Bałuty,,43.05
697,Łódź,Bałuty,,51.45
698,Łódź,Bałuty,487000.0,49.0
699,Łódź,Bałuty,,58.7
700,Łódź,Bałuty,,28.35
701,Łódź,Bałuty,,29.44
702,Łódź,Bałuty,,49.72
703,Łódź,Bałuty,,60.55
704,Łódź,Bałuty,,40.05
705,Łódź,Bałuty,,38.55
706,Łódź,Bałuty,,38.55
707,Łódź,Bałuty,,43.05
708,Łódź,Bałuty,,51.45
